,model,colours,ratings,reviews,selling_price(Rs),actual_price(Rs),off(%),connectivity,brand,type,colour,discount
638,REDMI Basic Wired Headset with Mic 01DFGGDFTDYFGTDJ Wir...,"Black, In the Ear",3.7,10,399,596,33,,REDMI,In the Ear,Black,197
639,REDMI Dual Driver 012 Wired Headset,"Black, In the Ear",3.8,10,499,998,50,Wired Headset,REDMI,In the Ear,Black,499
640,JBL Reflect Mini Wired Headset,"Black, In the Ear",3.8,98,3499,6998,50,Wired Headset,JBL,In the Ear,Black,3499
641,ViVO caly deep bass earphone Wired Headset,"White, In the Ear",3.8,10,175,972,82,Wired Headset,ViVO,In the Ear,White,797
642,OPPO Stereo Handsfree Wired Headset,"White, In the Ear",3.4,100,249,498,50,Wired Headset,OPPO,In the Ear,White,249
643,Skullcandy Jib Wired Headphone,"Blue, Black, In the Ear",3.8,21421,549,796,31,Wired Headphone,Skullcandy,In the Ear,Blue Black,247
644,Skullcandy Jib Plus Wireless Bluetooth Headset,"Pure Mint, In the Ear",3.4,236,1639,2483,34,Bluetooth Headset,Skullcandy,In the Ear,Pure Mint,844
645,"OPPO Earphone 0001 (White, In the Ear) Wired Headset","White, In the Ear",3.8,10,249,996,75,Wired Headset,OPPO,In the Ear,White,747
646,REDMI Basic Wired Headset with Mic 01DF2DFFCFFW Wired H...,"Black, In the Ear",2.7,3,399,596,33,,REDMI,In the Ear,Black,197
647,ORAIMO necklace 2 e74d Bluetooth Headset,"Black, In the Ear",2.6,8,2199,3490,37,Bluetooth Headset,ORAIMO,In the Ear,Black,1291
648,OPPO buds r-155 wired Wired Headset Wired Headset,"Black, In the Ear",2.9,12,249,593,58,Wired Headset,OPPO,In the Ear,Black,344
649,OPPO JMD Headphone Wired Headset,"White, In the Ear",3.0,7,199,948,79,Wired Headset,OPPO,In the Ear,White,749
650,ViVO Wireless Bluetooth Headphones With Mic & FM Functi...,"Black, On the Ear",3.8,10,899,1998,55,,ViVO,On the Ear,Black,1099
651,REDMI Sportclub Bluetooth Headset with Mic 025 Wired He...,"Black, In the Ear",2.2,9,399,998,60,,REDMI,In the Ear,Black,599
652,ViVO Black Sport Bluetooth Headset,"Black, In the Ear",2.9,58,399,1174,66,Bluetooth Headset,ViVO,In the Ear,Black,775
653,REDMI Basic Wired Headset with Mic 012CF Wired Headset,"Black, In the Ear",2.3,3,399,596,33,Wired Headset,REDMI,In the Ear,Black,197
654,ORAIMO OEB E98D Bluetooth Headset,"White, True Wireless",3.8,10,2995,3993,25,Bluetooth Headset,ORAIMO,True Wireless,White,998
655,Portronics Phoni 3 Retro Wired Headset,"Grey, On the Ear",3.8,1039,599,644,7,Wired Headset,Portronics,On the Ear,Grey,45
656,ViVO alternet sport thinkfull gadgetking Bluetooth Head...,"Black, In the Ear",3.0,26,399,887,55,,ViVO,In the Ear,Black,488
657,OPPO Earphones Wired Headset with Mic Wired Headset Wir...,"White, In the Ear",2.5,6,165,971,83,,OPPO,In the Ear,White,806
658,REDMI Sportclub Bluetooth Headset with Mic 023 Wired He...,"Black, In the Ear",2.7,6,399,998,60,,REDMI,In the Ear,Black,599
